ProviderID,network_name,addresses,route_server_asns
1153,Peering LAN,"149.112.74.0/24, 2001:504:132::/64",[]
1152,Peering LAN,"149.112.3.0/24, 2001:504:14::/64",[]
899,Asteroid Amsterdam IX Peering LAN,"185.1.94.0/24, 2001:7f8:b6:0::/64",[]
900,,,[]
123,Peering LAN,"200.0.18.0/24, 2001:13c7:6003::/64",[]
699,,"103.115.147.0/24, 2001:de8:c000::/64",[]
276,,,[]
893,GRX,"193.105.101.0/25, 2001:7f8:86:1::/64",[]
893,IPX,"193.105.101.192/26, 2001:7f8:86:2::/64",[]
893,IPX-Diameter,"193.105.101.128/26, 2001:7f8:86:3::/64",[]
893,ISP,"2001:7f8:1::/64, 80.249.208.0/21",[]
893,MAPS,195.69.144.0/26,[]
893,MDX,195.60.82.128/26,[]
893,NaWas,"194.62.128.0/24, 2001:67c:608::/64",[]
1364,GRX,103.247.138.160/27,[]
1364,IPX,103.247.138.192/27,[]
1364,IPX-Diameter,103.247.138.224/27,[]
1364,ISP,"103.247.139.0/25, 2001:df0:296::/64",[]
1364,sFlow,,[]
1242,GRX,,[]
1242,IPX,200.0.21.192/28,[]
1242,IPX-Diameter,,[]
1242,ISP,"200.0.20.0/24, 2001:13c7:6004::/64",[]
1203,ISP,"2001:e48:44:100b::/64, 223.31.200.0/24",[]
323,ISP,"2001:504:3d:1::/64, 206.41.106.0/24",[]
1151,ISP,"2001:504:38:1::/64, 206.108.115.0/24",[]
488,ISP,"2001:504:34:1::/64, 206.126.240.0/24",[]
586,Peering LAN,"170.82.113.0/24, 2803:C2C0::/48",[]
920,Standard Peering Service ASEAN,"103.162.254.0/24, 2001:df6:480::/64",[]
981,Standard Peering Service SEECIX,"185.1.172.0/24, 2001:7f8:f5::/64",[]
443,PublicPeering,"185.1.2.0/24, 2001:7f8:81::/64",[]
737,BALT-IX Peering LAN,"2001:1ab8:8486::/64, 77.241.206.0/24",[]
2,ixp-bkk,"2001:df5:b881::/64, 203.159.68.0/23",[]
2,ixp-bkk-v6n,2001:deb:0:68::/64,[]
1214,ixp-cmi,"2001:df5:b881:1::/64, 203.159.67.0/26",[]
61,AIX LAN1,43.254.82.0/23,[]
356,BatamIX Jakarta,"2402:d680:1000:4::/64, 27.124.87.0/24",[]
1031,BCIX Peering LAN,"193.178.185.0/24, 2001:7f8:19:1::/64",[]
1020,Standard Peering Service Barcelona,"185.1.119.0/24, 2001:7f8:10a::/64",[]
1211,VLAN#1,"185.1.136.0/24, 185.1.136.0/24, 2001:7f8:da::/64, 2001:7f8:da::/64",[]
1402,BFIX Bobo-Dioulasso,196.60.76.0/24,[]
619,BFIX Ouagadougou,"196.223.47.0/24, 2001:43f8:b60::/64",[]
1032,10,193.188.137.0/24,[]
1032,11,2001:07f8:35::/48,[]
532,Peering VLAN,"193.169.198.0/23, 2001:7f8:58::/64",[]
533,Peering,"194.53.172.0/24, 2001:7f8:26::/64",[]
412,Standard Peering Service Borneo-IX,"103.162.82.0/24, 2001:df6:1a80::/64",[]
202,CINX-DATA,"196.223.22.0/23, 2001:43f8:1f1::0/64",[]
531,Peering LAN1,"193.242.98.0/24, 2001:7F8:2A::/48",[]
1359,Charlotte,"2001:504:78::/64, 206.71.143.0/24",[]
746,,,[]
238,Peering,"201.131.206.0/24, 2806:239:206::/64",[]
239,City-IX Frankfurt,"185.0.10.0/24, 2001:7f8:e2::/64",[]
240,,,[]
242,cixvlan1,"185.1.87.0/24, 2001:7f8:28::/64",[]
243,Primary peering LAN,"192.65.185.0/24, 2001:7f8:1C:24A::/64",[]
241,COIX LAN1,"149.112.8.0/24, 2001:504:101::/64",[]
126,VLAN1,"103.7.144.0/25, 2001:de8:1d::/64",[]
721,,206.223.143.0/24,[]
969,,91.194.162.0/24,[]
908,Peering,200.107.83.0/24,[]
1038,Vancouver LAN 1,"2001:504:9c::/64, 206.83.46.0/24",[]
1405,Dallas,"2001:504:75::/64, 206.71.139.0/24",[]
913,DataIX,"178.18.224.0/22, 2a03:5f80:4::0/64",[]
913,DataIX-EU,"178.18.236.0/22, 2a03:5f80:4:2::0/64",[]
913,DataIX-KZ,"178.18.235.0/24, 2a03:5f80:4:4::0/64",[]
913,DataIX-UA,"178.18.230.0/24, 2a03:5f80:7::0/64",[]
913,DataIX-Ural,"178.18.233.0/24, 2a03:5f80:4:1::0/64",[]
372,IXP-Peering,"193.201.151.64/26, 2001:7f8:79::/64",[]
940,MAA Peering LAN,"103.228.174.0/24, 2400:d180:68::0/64",[]
695,DEL Peering LAN,"103.27.168.0/24, 2400:d180:67::0/64",[]
1328,BLR Peering LAN,"103.184.199.0/24, 2400:d180:73::0/64",[]
1329,HYD Peering LAN,"103.184.198.0/24, 2400:d180:72::0/64",[]
879,CCU Peering LAN,"103.228.172.0/24, 2400:d180:69::0/64",[]
564,BOM Peering LAN,"103.27.170.0/23, 2401:7500:fff6::0/64",[]
1262,DEN01 Peering Lan 01,"149.112.18.0/24, 2001:504:109::/64",[]
287,Standard Peering Service Dallas,"2001:504:61::/64, 206.53.202.0/24",[]
932,,"192.38.7.0/24, 2001:7f8:1f::/64",[]
291,DOIX-PEERING-LAN,"185.1.18.0/24, 2001:67c:2b9c::/64",[]
197,Standard Peering Service Ruhr-CIX,"185.1.197.0/24, 2001:7f8:106::/64",[]
741,DINX-DATA,"196.223.30.0/23, 2001:43f8:1f2::0/64",[]
766,Standard Peering Service Dusseldorf,"185.1.170.0/23, 2001:7f8:9e::/64",[]
587,Standard Peering Service UAE-IX,"185.1.8.0/24, 2001:7f8:73::/64",[]
892,Main VLAN,2602:fed2:7706::/64,[]
1144,EdgeIX-Adelaide,"103.136.101.0/25, 2001:df0:680:2::/64",[]
1344,EdgeIX-Auckland,"103.180.190.0/24, 2001:df0:680:11::/64",[]
904,EdgeIX-Brisbane,"103.136.103.0/24, 2001:df0:680:4::/64",[]
845,EdgeIX-Hobart,"103.136.100.128/25, 2001:df0:680:1::/64",[]
590,EdgeIX-Darwin,"103.136.100.0/25, 2001:df0:680::/64",[]
366,EdgeIX Melbourne,"2001:df0:680:6::/64, 202.77.90.0/23",[]
601,EdgeIX-Perth,"103.136.102.0/24, 2001:df0:680:3::/64",[]
51,EdgeIX-Singapore,"103.77.68.0/23, 2001:df0:680:10::/64",[]
1301,EdgeIX-Sydney,"2001:df0:680:5::/64, 202.77.88.0/23",[]
1298,EIX Delhi Members,"2001:df2:1900:1::/64, 2001:df2:1900:1::/64, 45.120.248.0/24, 45.120.248.0/24",[]
1296,EIX Chennai Members,"2001:df2:1900:3::/64, 2001:df2:1900:3::/64, 45.120.251.0/24, 45.120.251.0/24",[]
991,EIX Hyderabad Members,"103.77.110.0/24, 103.77.110.0/24, 2001:df2:1900:4::/64, 2001:df2:1900:4::/64",[]
1300,EIX Mumbai Members,"103.77.108.0/23, 103.77.108.0/23, 2001:df2:1900:2::/64, 2001:df2:1900:2::/64",[]
1245,EIX Kolkata Members,"2001:df2:1900:5::/64, 2001:df2:1900:5::/64, 45.120.249.0/24, 45.120.249.0/24",[]
1303,ISP,"194.226.100.0/23, 2001:7f8:20:201::/64",[]
1303,ISP,"194.226.102.0/23, 2001:7f8:20:202::/64",[]
1303,ISP,"194.85.107.0/24, 2001:7f8:20:301::/64",[]
1303,ISP,"193.232.87.0/24, 2001:7f8:20:401::/64",[]
1303,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
1302,KAT.OpenPeering,"178.216.40.0/21, 2001:7f8:5b::/64",[]
1299,KAT.OpenPeering,"2001:678:3ac::/48, 89.46.144.0/21",[]
802,99,195.42.144.0/23,[]
1244,3,194.42.48.0/25,[]
21,,195.182.218.0/23,[]
917,,,[]
109,ERA-IX,"185.1.240.0/24, 2001:7f8:12a::/64",[]
905,,,[]
1350,4,193.110.226.0/24,[]
1350,6,2001:7f8:7::/64,[]
147,4,193.110.224.0/22,[]
147,6,2001:7f8::/48,[]
812,4,193.110.225.0/24,[]
812,6,2001:7f8:7:2::/64,[]
545,Peering VLAN,"206.81.104.0/0, 2602:fed2:fff:ffff::/0",[]
1131,FIX Berlin,"185.0.32.0/24, 2001:7f8:14b::/64",[]
855,,,[]
907,Standard Peering Service Frankfurt,"2001:7f8::/64, 80.81.192.0/21",[]
556,,"2001:7f8:47:47::/64, 77.95.71.0/24",[]
1373,Peering,"2001:7f8:54:5::/64, 37.49.232.0/24",[]
1120,Peering,"2001:7f8:54::/64, 37.49.236.0/22",[]
1062,Peering VLAN,"185.1.203.0/24, 2001:7f8:10f::/64",[]
1063,Peering Vlan,196.223.39.0/24,[]
1107,Peering VLAN #1,"193.136.250.0/24, 2001:7F8:A:1::/64",[]
1107,Peering VLAN #2,"193.136.251.0/26, 2001:7F8:A:2::/64",[]
1107,Peering VLAN Porto,"193.136.251.96/27, 2001:7F8:A:11::/64",[]
1064,191,196.201.2.0/24,[]
1064,194,196.49.14.0/24,[]
1065,GRIX,"176.126.38.0/25, 2001:7f8:6e::/64",[]
1099,THESS-PEERING-LAN,"185.1.123.0/25, 2001:7f8:ce::/64",[]
1113,Standard Peering Service Hamburg,"185.1.210.0/23, 2001:7f8:3d::/64",[]
1066,HIX,"196.60.44.0/24, 2001:43f8:310::0/64",[]
1100,Houston,"2001:504:74::/64, 206.71.138.0/24",[]
1115,INEX LAN1,"185.6.36.0/23, 2001:7f8:18::/64",[]
1067,INEX LAN2,"194.88.240.0/25, 194.88.240.0/25, 2001:7f8:18:12::/64, 2001:7f8:18:12::/64",[]
1098,INEX Cork,"185.1.69.0/24, 185.1.69.0/24, 2001:7f8:18:210::/64, 2001:7f8:18:210::/64",[]
1102,Peering LAN,"185.1.205.0/24, 2001:7f8:111:42::/64",[]
1127,INIXP Asia,"103.115.3.0/24, 2401:3fa0::/64",[]
1127,INIXP Asia Remote Sapporo,2401:3fa0:1::/64,[]
1105,VLAN1,2407:c280:aaaa:5000::/64,[]
1375,VLAN1,2407:c280:aaaa:4000::/64,[]
1122,VLAN1,2407:c280:aaaa:2600::/64,[]
1114,VLAN1,2407:c280:aaaa:7000::/64,[]
1068,Peering LAN,"179.0.201.2/24, 2801:17:c000:201::/64",[]
1116,VLAN1,2407:c280:aaaa:6000::/64,[]
1069,VLAN1,2407:c280:aaaa:2000::/64,[]
1070,Peering VLAN,"185.1.240.0/24, 2001:7f8:134::/48",[]
1071,VLAN1,2407:c280:aaaa:3000::/64,[]
1072,InterLAN-IX,"2001:7f8:64:225::/64, 86.104.125.0/24",[]
1073,Standard Peering Service Istanbul,"185.1.48.0/24, 2001:7f8:3f::/64",[]
1125,,103.74.224.0/24,[]
1074,Peering LAN,45.68.56.0/24,[]
1075,,"185.1.71.0/25, 185.1.71.128/25, 2001:7f8:a2:8000::/50",[]
1106,IX-AKL,"2001:dea:0:40::/64, 43.243.22.0/23",[]
1076,IX-BER,"194.9.117.0/24, 2001:7f8:8:5::/64",[]
1077,IX-ATL,"206.53.169.128/26, 2606:a980:0:a::/64",[]
1117,IX-ADL,"103.48.48.0/25, 2001:dea:0:60::/64",[]
1078,IX-ASH,"206.53.170.0/24, 2606:a980:0:3::/64",[]
1079,IX-BNE,"103.26.70.0/24, 2001:dea:0:20::/64",[]
1376,IX-CHI,"206.53.206.0/25, 2606:a980:0:d::/64",[]
1103,IX-CLT,"206.53.169.0/26, 2606:a980:0:6::/64",[]
1112,Peering LAN,"2801:135:1::/64, 45.68.52.0/24",[]
1080,IX-DUS,"194.146.118.0/24, 2001:7f8:8::/64",[]
1128,IX-DAL,"206.53.174.0/24, 2606:a980:0:7::/64",[]
1123,IX-HAM,"193.42.155.0/24, 2001:7f8:8:10::/64",[]
1108,IX-LAS,"206.53.205.0/24, 2606:a980:0:9::/64",[]
1081,IX-FRA,"2001:7f8:8:20::/64, 62.69.146.0/23",[]
1082,Public Peering,"2001:504:58::0/64, 206.53.175.0/24",[]
1083,IX-LAX,"206.53.172.0/24, 2606:a980:0:5::/64",[]
1084,IX-MEL,"103.26.71.0/24, 2001:dea:0:30::/64",[]
1129,IX-MIA,"206.53.168.0/26, 2606:a980:0:b::/64",[]
1101,IX-MUC,"194.59.190.0/24, 2001:7f8:2c:1000::/64",[]
1085,IX-PER,"2001:dea:0:50::/64, 202.12.243.0/24",[]
1119,IX-NYC,"206.53.173.0/25, 2606:a980:0:2::/64",[]
1104,IX-SEA,"206.53.171.0/24, 2606:a980:0:4::/64",[]
1130,IX-SJC,"206.53.206.128/25, 2606:a980:0:e::/64",[]
1124,IX-SIN,"103.41.12.0/22, 2001:ded::/64",[]
1086,IX-SOF,"2001:7f8:9f::/64, 91.212.235.0/24",[]
1118,IX-SYD,"103.26.68.0/23, 2001:dea:0:10::/64",[]
1126,IX-TOR,"206.53.203.0/24, 2606:a980:0:8::/64",[]
1087,CITRA,"194.54.136.0/24, 2a0c:c9c0::/48",[]
1121,IX42 Las Vegas VLAN,2a0e:b107:b7a::/64,[]
1111,Peering LAN,"2801:182:132::/64, 45.184.132.0/24",[]
1088,Peering,"201.131.204.0/24, 2806:239::/48",[]
1089,ABJ-PEERING,"196.216.150.0/25, 2001:43f8:bb1:150::/64",[]
1090,KANO-PEERING,"196.216.150.128/25, 2001:43f8:bb1:150::/64",[]
1091,PHC-PEERING,"196.216.151.0/24, 2001:43f8:bb1:151::/64",[]
1109,LOS-PEERING-LAN,"196.216.148.0/24, 2001:43f8:bb1::/64",[]
1092,Peering LAN,"2001:1320:cafe::/48, 201.217.14.0/24",[]
1093,Peering LAN,"168.243.16.0/24, 2800:90:16::/64",[]
1110,Peering LAN,"2806:30c:2021:110::/64, 45.164.110.0/24",[]
1094,,,[]
1095,Standard Peering Johor Bahru,"103.119.235.0/24, 2403:4ac0:2::/64",[]
1096,JINX-DATA,"196.60.96.0/23, 2001:43f8:1f0::0/64",[]
1096,JINX-VOICE,196.223.15.0/24,[]
1389,,"210.173.176.0/24, 210.173.178.0/25, 218.100.45.0/24",[]
748,Peering,"196.223.25.0/24, 2001:43f8:130::/64",[]
246,IXP-VLAN,"185.79.213.0/24, 2a01:7640:9400::/64",[]
203,,,[]
358,KIXP1,"196.223.21.0/24, 2001:43f8:60:1::/64",[]
12,Icolo Mombasa peering vlan,"196.60.68.0/24, 2001:43F8:C0:1::/64",[]
192,KleyReX Peering LAN,"193.189.82.0/23, 193.189.82.0/23, 2001:7f8:33::/64, 2001:7f8:33::/64",[]
1315,,,[]
1316,ISP,"194.190.119.0/24, 2001:7f8:20:801::/64",[]
1313,Standard Peering Kuala Lumpur,"103.119.234.0/24, 2403:4ac0:1::/64",[]
1314,MTU 1500,"149.112.26.0/24, 2a0f:607:1070::/64",[]
1312,Main,"195.66.236.0/22, 2001:7f8:4:1::/64",[]
40,LasVegas,"2001:504:68::/64, 206.71.8.0/24",[]
286,Main,"195.66.224.0/21, 2001:7f8:4::/64",[]
286,Multicast,195.66.230.0/26,[]
